City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Date
0,Punta Arenas,CL,-53.15,-70.9167,42.91,87,100,4.61,overcast clouds,2022-05-20 20:54:10
1,Pevek,RU,69.7008,170.3133,32.92,97,79,5.48,broken clouds,2022-05-20 20:54:11
2,Altar,MX,30.7,-111.8167,91.36,16,0,25.86,clear sky,2022-05-20 20:54:11
3,Jamestown,US,42.097,-79.2353,76.95,78,100,8.99,overcast clouds,2022-05-20 20:54:12
4,Fortuna,US,40.5982,-124.1573,66.85,63,20,20.71,few clouds,2022-05-20 20:54:12
5,Hithadhoo,MV,-0.6,73.0833,82.96,73,65,9.22,broken clouds,2022-05-20 20:54:13
6,New Norfolk,AU,-42.7826,147.0587,40.5,87,10,2.42,clear sky,2022-05-20 20:54:14
7,Srednekolymsk,RU,67.45,153.6833,53.24,51,52,14.07,broken clouds,2022-05-20 20:54:14
8,Kisangani,CD,0.5167,25.2,73.18,95,100,1.99,overcast clouds,2022-05-20 20:54:15
9,Alofi,NU,-19.0595,-169.9187,76.89,94,40,5.75,scattered clouds,2022-05-20 20:54:15
10,Albany,US,42.6001,-73.9662,78.24,59,98,3.0,overcast clouds,2022-05-20 20:50:27
11,Chuy,UY,-33.6971,-53.4616,53.73,72,25,5.61,scattered clouds,2022-05-20 20:54:16
12,Hermanus,ZA,-34.4187,19.2345,57.22,71,55,3.11,broken clouds,2022-05-20 20:54:16
13,Boende,CD,-0.2167,20.8667,70.56,99,100,2.44,overcast clouds,2022-05-20 20:54:17
14,Bara,NG,10.3744,10.7288,86.5,47,54,8.05,broken clouds,2022-05-20 20:54:17
15,Sao Filipe,CV,14.8961,-24.4956,74.14,70,72,8.72,broken clouds,2022-05-20 20:54:18
16,Lavrentiya,RU,65.5833,-171.0,35.19,95,47,7.96,scattered clouds,2022-05-20 20:53:30
17,Bredasdorp,ZA,-34.5322,20.0403,51.33,78,6,4.45,clear sky,2022-05-20 20:54:18
18,Bima,ID,-8.4667,118.7167,73.62,92,17,3.38,few clouds,2022-05-20 20:54:19
19,Kruisfontein,ZA,-34.0033,24.7314,54.88,83,100,5.57,light rain,2022-05-20 20:54:19
20,Ormara,PK,25.2088,64.6357,81.52,93,4,15.39,clear sky,2022-05-20 20:54:20
21,Erie,US,42.7667,-78.6664,74.68,71,100,7.0,overcast clouds,2022-05-20 20:54:20
22,Mataura,NZ,-46.1927,168.8643,47.48,91,98,13.2,overcast clouds,2022-05-20 20:54:21
23,Saint George,US,37.1041,-113.5841,75.25,12,0,8.99,clear sky,2022-05-20 20:52:15
24,Matara,LK,5.9485,80.5353,76.87,93,46,7.9,scattered clouds,2022-05-20 20:54:21
25,Yongchang,CN,30.0381,119.7317,60.58,97,62,0.29,broken clouds,2022-05-20 20:54:22
26,Lagoa,PT,39.05,-27.9833,61.5,92,100,13.04,overcast clouds,2022-05-20 20:54:22
27,Muzaffarabad,PK,34.37,73.4711,66.13,64,77,8.55,broken clouds,2022-05-20 20:54:23
28,Corrientes,AR,-27.4806,-58.8341,66.16,62,0,8.05,clear sky,2022-05-20 20:54:23
29,Carnarvon,AU,-24.8667,113.6333,68.67,65,0,13.33,clear sky,2022-05-20 20:54:24
30,Iqaluit,CA,63.7506,-68.5145,29.93,92,100,9.22,light snow,2022-05-20 20:54:24
31,Ponta Do Sol,PT,32.6667,-17.1,68.72,83,56,1.9,broken clouds,2022-05-20 20:54:24
32,East London,ZA,-33.0153,27.9116,61.65,73,100,9.13,light rain,2022-05-20 20:54:25
33,Puliyur,IN,10.6333,78.8333,82.2,69,40,6.91,haze,2022-05-20 20:54:25
34,Sault Sainte Marie,CA,46.5168,-84.3333,59.29,93,100,12.66,mist,2022-05-20 20:50:45
35,Garchitorena,PH,13.8804,123.6946,79.81,84,100,4.41,overcast clouds,2022-05-20 20:54:26
36,Birao,CF,10.2849,22.7882,84.96,47,33,8.16,scattered clouds,2022-05-20 20:54:26
37,Bjornevatn,NO,69.6672,29.9847,37.74,70,75,14.97,broken clouds,2022-05-20 20:54:27
38,Souillac,MU,-20.5167,57.5167,75.58,83,40,8.05,scattered clouds,2022-05-20 20:54:27
39,Vaini,TO,-21.2,-175.2,77.16,83,40,4.61,scattered clouds,2022-05-20 20:54:28
40,Sao Felix Do Xingu,BR,-6.6447,-51.995,75.99,74,46,1.48,scattered clouds,2022-05-20 20:54:28
41,Impfondo,CG,1.6381,18.0667,70.09,98,100,2.75,overcast clouds,2022-05-20 20:54:29
42,Rikitea,PF,-23.1203,-134.9692,73.09,78,100,3.76,overcast clouds,2022-05-20 20:54:29
43,Guangyuan,CN,32.442,105.823,65.25,90,100,0.69,light rain,2022-05-20 20:54:29
44,Kapaa,US,22.0752,-159.319,83.48,76,38,3.0,scattered clouds,2022-05-20 20:54:30
45,Barrow,US,71.2906,-156.7887,31.8,99,100,9.06,overcast clouds,2022-05-20 20:54:30
46,Hambantota,LK,6.1241,81.1185,78.89,85,69,14.5,broken clouds,2022-05-20 20:54:31
47,Port Alfred,ZA,-33.5906,26.891,57.18,94,100,4.0,overcast clouds,2022-05-20 20:54:31
48,Great Yarmouth,GB,52.6083,1.7305,61.05,90,34,15.3,scattered clouds,2022-05-20 20:55:32
49,Deer Lake,CA,49.1667,-57.4316,64.26,27,20,8.05,few clouds,2022-05-20 20:55:32
50,Marsh Harbour,BS,26.5412,-77.0636,81.36,74,100,12.1,overcast clouds,2022-05-20 20:55:33
51,Meulaboh,ID,4.1363,96.1285,77.02,89,92,3.58,overcast clouds,2022-05-20 20:55:33
52,Zamora,EC,-4.0692,-78.9567,90.64,92,95,3.06,light rain,2022-05-20 20:55:34
53,Visegrad,BA,43.7847,19.2992,56.64,68,12,2.57,few clouds,2022-05-20 20:55:34
54,Victoria,HK,22.2855,114.1577,78.94,82,9,1.01,clear sky,2022-05-20 20:52:54
55,Port Elizabeth,ZA,-33.918,25.5701,57.49,97,100,8.05,overcast clouds,2022-05-20 20:55:35
56,Saint-Philippe,RE,-21.3585,55.7679,71.19,82,40,11.41,light rain,2022-05-20 20:55:35
57,Leshukonskoye,RU,64.8989,45.7622,26.83,85,28,4.83,scattered clouds,2022-05-20 20:55:37
58,Olafsvik,IS,64.8945,-23.7142,48.38,82,83,6.49,broken clouds,2022-05-20 20:55:37
59,Vanimo,PG,-2.6741,141.3028,77.49,90,48,3.94,scattered clouds,2022-05-20 20:55:37
60,Nishihara,JP,26.1842,127.7558,74.48,92,75,12.66,broken clouds,2022-05-20 20:55:38
61,Lompoc,US,34.6391,-120.4579,73.78,60,0,17.27,clear sky,2022-05-20 20:55:38
62,Busselton,AU,-33.65,115.3333,55.62,83,3,9.1,clear sky,2022-05-20 20:55:39
63,San Pedro De Macoris,DO,18.4616,-69.2972,88.41,65,40,13.13,scattered clouds,2022-05-20 20:55:39
64,Xuddur,SO,4.1213,43.8894,74.91,71,50,13.49,scattered clouds,2022-05-20 20:55:39
65,Raudeberg,NO,61.9875,5.1352,50.67,94,100,3.85,overcast clouds,2022-05-20 20:55:40
66,Castro,BR,-24.7911,-50.0119,48.69,74,0,3.91,clear sky,2022-05-20 20:55:40
67,Ahipara,NZ,-35.1667,173.1667,58.82,63,99,13.53,overcast clouds,2022-05-20 20:55:41
68,Yulara,AU,-25.2406,130.9889,53.19,67,68,8.79,broken clouds,2022-05-20 20:55:41
69,Ramsar,IR,36.9226,50.6426,56.64,94,100,9.22,overcast clouds,2022-05-20 20:55:42
70,Nome,US,64.5011,-165.4064,62.11,48,57,15.43,broken clouds,2022-05-20 20:55:42
71,Lebu,CL,-37.6167,-73.65,53.98,86,18,7.11,few clouds,2022-05-20 20:55:43
72,Sambava,MG,-14.2667,50.1667,72.93,87,42,11.74,light rain,2022-05-20 20:55:43
73,Ushuaia,AR,-54.8,-68.3,46.06,61,20,6.91,few clouds,2022-05-20 20:55:44
74,Cabo San Lucas,MX,22.8909,-109.9124,84.61,58,1,15.5,clear sky,2022-05-20 20:55:43
75,Codrington,AU,-38.2667,141.9667,42.67,91,9,6.73,clear sky,2022-05-20 20:55:44
76,Kaliua,TZ,-5.0606,31.7936,65.53,66,100,3.51,overcast clouds,2022-05-20 20:55:45
77,Nanchong,CN,30.7951,106.0847,70.75,74,100,1.19,overcast clouds,2022-05-20 20:55:45
78,Leh,IN,34.1667,77.5833,44.65,55,20,4.59,few clouds,2022-05-20 20:55:45
79,Conakry,GN,9.538,-13.6773,84.27,84,75,11.5,broken clouds,2022-05-20 20:55:46
80,Kabinda,CD,-6.1333,24.4833,72.86,57,94,2.35,overcast clouds,2022-05-20 20:55:47
81,Kondinskoye,RU,59.6481,67.41,40.42,85,96,12.48,overcast clouds,2022-05-20 20:55:47
82,Skjervoy,NO,70.0311,20.9714,39.2,75,15,8.19,few clouds,2022-05-20 20:55:47
83,Hasaki,JP,35.7333,140.8333,64.8,75,100,9.78,light rain,2022-05-20 20:55:48
84,Longyearbyen,SJ,78.2186,15.6401,33.64,69,75,3.44,broken clouds,2022-05-20 20:55:48
85,Atuona,PF,-9.8,-139.0333,77.38,67,0,9.75,clear sky,2022-05-20 20:55:49
86,College,US,64.8569,-147.8028,71.01,34,0,1.99,clear sky,2022-05-20 20:55:49
87,Gornopravdinsk,RU,60.05,69.9,39.81,84,91,12.28,overcast clouds,2022-05-20 20:55:50
88,Yellowknife,CA,62.456,-114.3525,59.56,21,75,9.22,broken clouds,2022-05-20 20:55:50
89,Saskylakh,RU,71.9167,114.0833,30.25,87,100,3.18,overcast clouds,2022-05-20 20:55:51
90,Jalu,LY,29.0331,21.5482,70.07,31,0,20.92,clear sky,2022-05-20 20:55:51
91,San Patricio,US,28.017,-97.5169,86.72,51,32,22.37,scattered clouds,2022-05-20 20:55:52
92,Millinocket,US,45.6573,-68.7098,59.41,63,100,9.55,overcast clouds,2022-05-20 20:53:17
93,Moose Factory,CA,51.2585,-80.6094,57.18,94,100,5.75,mist,2022-05-20 20:56:52
94,Saldanha,ZA,-33.0117,17.9442,51.85,70,2,16.31,clear sky,2022-05-20 20:56:53
95,Cherskiy,RU,68.75,161.3,51.15,50,8,16.24,clear sky,2022-05-20 20:56:53
96,Tasiilaq,GL,65.6145,-37.6368,38.64,73,17,5.08,few clouds,2022-05-20 20:56:54
97,Glasgow,GB,55.8652,-4.2576,52.2,86,40,12.66,scattered clouds,2022-05-20 20:56:54
98,Marsaxlokk,MT,35.8419,14.5431,66.07,82,0,4.61,clear sky,2022-05-20 20:56:55
99,Burnie,AU,-41.0667,145.9167,46.94,89,79,5.46,broken clouds,2022-05-20 20:56:55
100,Elizabeth City,US,36.2946,-76.2511,95.05,54,0,4.0,clear sky,2022-05-20 20:56:56
101,Bengkulu,ID,-3.8004,102.2655,75.92,87,82,3.94,broken clouds,2022-05-20 20:56:56
102,Linqiong,CN,30.4159,103.4609,67.82,86,100,1.83,overcast clouds,2022-05-20 20:56:57
103,Mahebourg,MU,-20.4081,57.7,76.24,83,40,8.05,scattered clouds,2022-05-20 20:55:07
104,Kaitangata,NZ,-46.2817,169.8464,45.3,82,69,18.97,broken clouds,2022-05-20 20:56:57
105,Khatanga,RU,71.9667,102.5,31.17,83,100,10.2,overcast clouds,2022-05-20 20:56:58
106,Buin,CL,-33.7333,-70.75,68.32,48,72,4.07,broken clouds,2022-05-20 20:56:58
107,Dunedin,NZ,-45.8742,170.5036,48.79,64,70,13.0,broken clouds,2022-05-20 20:56:59
108,Camacha,PT,33.0833,-16.3333,63.82,68,20,9.22,few clouds,2022-05-20 20:56:59
109,Faanui,PF,-16.4833,-151.75,80.29,73,19,11.61,few clouds,2022-05-20 20:56:59
110,Mabaruma,GY,8.2,-59.7833,81.16,72,24,6.58,few clouds,2022-05-20 20:57:00
111,Kousseri,CM,12.0769,15.0306,94.96,16,13,4.61,few clouds,2022-05-20 20:57:00
112,Bobrovka,RU,54.047,61.7455,44.46,91,100,19.19,moderate rain,2022-05-20 20:57:01
113,Ust-Omchug,RU,61.15,149.6333,33.42,94,100,5.01,light snow,2022-05-20 20:53:15
114,Bambous Virieux,MU,-20.3428,57.7575,76.21,83,40,8.05,scattered clouds,2022-05-20 20:55:07
115,Pangnirtung,CA,66.1451,-65.7125,35.37,87,100,1.14,overcast clouds,2022-05-20 20:57:02
116,Plettenberg Bay,ZA,-34.0527,23.3716,56.17,81,87,6.6,overcast clouds,2022-05-20 20:57:02
117,Storforshei,NO,66.4043,14.5233,46.65,81,75,5.75,broken clouds,2022-05-20 20:57:03
118,Lae,PG,-6.7221,146.9847,72.27,81,9,4.9,clear sky,2022-05-20 20:57:03
119,Yanam,IN,16.7333,82.2167,81.63,78,100,4.34,overcast clouds,2022-05-20 20:57:03
120,Quelimane,MZ,-17.8786,36.8883,76.95,88,0,8.05,clear sky,2022-05-20 20:55:07
121,Chokurdakh,RU,70.6333,147.9167,34.07,100,100,7.05,overcast clouds,2022-05-20 20:57:04
122,Katsuura,JP,35.1333,140.3,66.9,80,100,8.21,overcast clouds,2022-05-20 20:57:05
123,Guerrero Negro,MX,27.9769,-114.0611,72.52,52,1,15.93,clear sky,2022-05-20 20:57:05
124,El Jicaro,GT,14.9167,-89.9,94.53,55,74,4.88,broken clouds,2022-05-20 20:57:05
125,Avarua,CK,-21.2078,-159.775,78.85,69,75,6.91,broken clouds,2022-05-20 20:57:06
126,Boda,CF,4.3189,17.4695,72.03,85,100,2.57,overcast clouds,2022-05-20 20:57:06
127,Coahuayana,MX,18.7333,-103.6833,89.1,42,13,8.19,few clouds,2022-05-20 20:57:07
128,Hilo,US,19.7297,-155.09,93.27,87,11,8.01,few clouds,2022-05-20 20:57:07
129,San Cristobal,VE,7.7669,-72.225,80.78,47,26,6.82,scattered clouds,2022-05-20 20:57:08
130,Ulladulla,AU,-35.35,150.4667,55.18,79,88,6.44,overcast clouds,2022-05-20 20:57:08
131,Isagarh,IN,24.8333,77.8833,94.84,18,3,18.79,clear sky,2022-05-20 20:57:09
132,Tuatapere,NZ,-46.1333,167.6833,45.72,82,96,18.25,overcast clouds,2022-05-20 20:57:09
133,Seoul,KR,37.5683,126.9778,60.37,91,75,2.3,mist,2022-05-20 20:55:54
134,Tuktoyaktuk,CA,69.4541,-133.0374,41.0,65,100,4.61,overcast clouds,2022-05-20 20:57:10
135,Prince Rupert,CA,54.3161,-130.3201,50.09,85,0,5.75,clear sky,2022-05-20 20:56:17
136,Hamina,FI,60.5697,27.1979,43.88,66,10,10.22,clear sky,2022-05-20 20:57:10
137,Solwezi,ZM,-12.1688,26.3894,62.87,68,78,4.07,broken clouds,2022-05-20 20:57:11
138,Komsomolskiy,UZ,40.4272,71.7189,66.92,59,59,6.91,broken clouds,2022-05-20 20:57:11
139,Lere,NG,10.387,8.5726,81.09,49,85,4.99,overcast clouds,2022-05-20 20:58:12
140,Constitucion,CL,-35.3333,-72.4167,56.52,76,0,6.33,clear sky,2022-05-20 20:58:12
141,Ponta Delgada,PT,37.7333,-25.6667,63.32,77,20,12.66,few clouds,2022-05-20 20:56:07
142,Anshun,CN,26.25,105.9333,56.01,92,89,3.44,overcast clouds,2022-05-20 20:58:13
143,Torbay,CA,47.6666,-52.7314,52.57,54,75,10.36,broken clouds,2022-05-20 20:58:13
144,Ribeirao Branco,BR,-24.2208,-48.7656,49.57,80,0,1.77,clear sky,2022-05-20 20:58:14
145,Asfi,MA,32.2994,-9.2372,66.15,91,11,4.43,few clouds,2022-05-20 20:58:14
146,Luderitz,NA,-26.6481,15.1594,52.41,73,1,10.51,clear sky,2022-05-20 20:58:15
147,Dunkwa,GH,5.9656,-1.78,74.35,98,100,4.27,moderate rain,2022-05-20 20:58:15
148,Calvia,ES,39.5657,2.5062,74.95,36,100,6.67,overcast clouds,2022-05-20 20:58:16
149,Pisco,PE,-13.7,-76.2167,71.65,60,0,11.5,clear sky,2022-05-20 20:58:16
150,Barcelos,PT,41.5388,-8.6151,78.85,54,99,6.93,overcast clouds,2022-05-20 20:58:16
151,Pedernales,DO,18.0384,-71.744,88.25,51,12,12.35,few clouds,2022-05-20 20:58:17
152,Samarai,PG,-10.6167,150.6667,81.95,75,37,8.25,scattered clouds,2022-05-20 20:58:17
153,Ambovombe,MG,-25.1667,46.0833,68.54,63,50,5.75,scattered clouds,2022-05-20 20:58:18
154,Kavaratti,IN,10.5669,72.642,82.27,79,99,11.07,overcast clouds,2022-05-20 20:58:18
155,Salalah,OM,17.0151,54.0924,80.42,80,34,3.09,scattered clouds,2022-05-20 20:58:18
156,Santa Rosa,PH,14.3122,121.1114,77.11,93,98,1.12,overcast clouds,2022-05-20 20:56:48
157,Teguldet,RU,57.3064,88.1667,56.41,58,75,10.09,broken clouds,2022-05-20 20:58:19
158,Vardo,NO,70.3705,31.1107,37.38,75,75,23.02,broken clouds,2022-05-20 20:58:20
159,Bathsheba,BB,13.2167,-59.5167,84.81,70,40,19.57,scattered clouds,2022-05-20 20:58:20
160,Panguna,PG,-6.3164,155.4848,70.72,93,37,1.59,scattered clouds,2022-05-20 20:58:20
161,Mana,GF,5.6592,-53.7767,77.81,88,73,10.51,heavy intensity rain,2022-05-20 20:58:21
162,Walvis Bay,NA,-22.9575,14.5053,55.09,71,0,6.91,clear sky,2022-05-20 20:58:21
163,Qaanaaq,GL,77.484,-69.3632,17.46,81,16,2.82,few clouds,2022-05-20 20:58:22
164,Oksfjord,NO,70.2396,22.3479,45.0,89,51,8.03,broken clouds,2022-05-20 20:58:22
165,Cape Town,ZA,-33.9258,18.4232,56.91,81,75,3.44,broken clouds,2022-05-20 20:58:22
166,Zile,TR,40.3031,35.8864,43.43,81,0,2.44,clear sky,2022-05-20 20:58:23
167,Pozhva,RU,59.0912,56.0847,35.73,87,100,6.58,overcast clouds,2022-05-20 20:58:23
168,Gambela,ET,8.25,34.5833,77.13,68,78,2.64,broken clouds,2022-05-20 20:58:24
169,Dikson,RU,73.5069,80.5464,27.1,88,100,4.9,overcast clouds,2022-05-20 20:58:24
170,Namibe,AO,-15.1961,12.1522,67.82,68,17,8.43,few clouds,2022-05-20 20:58:24
171,Kodiak,US,57.79,-152.4072,45.86,84,100,14.14,overcast clouds,2022-05-20 20:58:25
172,Bloemhof,ZA,-27.6469,25.607,52.38,84,94,14.23,light rain,2022-05-20 20:58:25
173,Georgetown,MY,5.4112,100.3354,80.55,93,20,0.0,few clouds,2022-05-20 20:53:30
174,Tottori,JP,35.5,134.2333,63.48,66,100,5.41,light rain,2022-05-20 20:58:26
175,Tromso,NO,69.6496,18.957,46.42,57,75,5.75,broken clouds,2022-05-20 20:58:27
176,Hobart,AU,-42.8794,147.3294,40.86,92,20,8.05,few clouds,2022-05-20 20:58:27
177,Assiniboia,CA,49.6334,-105.9845,39.02,56,100,19.57,overcast clouds,2022-05-20 20:58:28
178,Cidreira,BR,-30.1811,-50.2056,57.67,74,0,5.84,clear sky,2022-05-20 20:58:28
179,Passo De Camaragibe,BR,-9.2368,-35.4901,76.55,94,78,6.91,broken clouds,2022-05-20 20:58:28
180,Thompson,CA,55.7435,-97.8558,37.56,65,100,12.66,overcast clouds,2022-05-20 20:58:29
181,Mezen,RU,65.8522,44.24,28.71,82,77,4.85,broken clouds,2022-05-20 20:58:29
182,Clyde River,CA,70.4692,-68.5914,25.03,80,100,10.36,overcast clouds,2022-05-20 20:58:30
183,Vila Velha,BR,-20.3297,-40.2925,73.35,60,0,12.66,clear sky,2022-05-20 20:57:16
184,Mount Isa,AU,-20.7333,139.5,64.17,68,40,5.75,scattered clouds,2022-05-20 20:58:30
185,Diapaga,BF,12.0708,1.7889,87.66,44,67,2.84,light rain,2022-05-20 20:58:31
186,Bluff,NZ,-46.6,168.3333,47.8,76,100,32.86,light rain,2022-05-20 20:59:31
187,Upernavik,GL,72.7868,-56.1549,29.95,80,72,11.7,broken clouds,2022-05-20 20:59:32
188,Caxito,AO,-8.5785,13.6643,68.52,96,1,1.52,clear sky,2022-05-20 20:59:32
189,Teya,RU,60.3778,92.6267,46.81,82,95,5.03,overcast clouds,2022-05-20 20:59:32
190,Tame,CO,6.461,-71.73,83.68,62,73,6.42,broken clouds,2022-05-20 20:59:33
191,Malinovka,BY,53.8579,27.4374,56.48,96,100,13.09,overcast clouds,2022-05-20 20:59:33
192,Russellville,US,35.2784,-93.1338,92.17,60,0,12.86,clear sky,2022-05-20 20:59:34
193,Waingapu,ID,-9.6567,120.2641,77.63,82,92,9.1,overcast clouds,2022-05-20 20:59:34
194,Melo,UY,-32.3667,-54.1833,51.6,80,13,6.64,few clouds,2022-05-20 20:59:35
195,Puerto Ayora,EC,-0.7393,-90.3518,80.56,90,53,10.0,broken clouds,2022-05-20 20:59:35
196,Mahibadhoo,MV,3.7833,72.9667,82.4,78,28,12.44,scattered clouds,2022-05-20 20:59:35
197,Butaritari,KI,3.0707,172.7902,81.54,71,14,17.81,few clouds,2022-05-20 20:59:36
198,Khandyga,RU,62.6667,135.6,42.53,69,42,3.2,scattered clouds,2022-05-20 20:59:36
199,Esna,EG,25.2934,32.554,89.62,14,0,11.56,clear sky,2022-05-20 20:59:37
200,Berdigestyakh,RU,62.0989,126.6992,40.17,76,2,4.03,clear sky,2022-05-20 20:59:37
201,Lengshuijiang,CN,27.6881,111.4294,62.08,96,99,1.21,overcast clouds,2022-05-20 20:59:38
202,Bonfim,BR,3.0833,-59.95,84.72,63,54,4.74,moderate rain,2022-05-20 20:59:38
203,Sept-Iles,CA,50.2001,-66.3821,54.05,68,40,16.11,scattered clouds,2022-05-20 20:59:38
204,Cairns,AU,-16.9167,145.7667,74.07,91,40,10.36,scattered clouds,2022-05-20 20:59:39
205,Bria,CF,6.5423,21.9863,69.91,95,94,3.8,light rain,2022-05-20 20:59:39
206,Kargopol,RU,61.5071,38.9456,33.37,79,100,3.24,overcast clouds,2022-05-20 20:59:40
207,Erenhot,CN,43.6475,111.9767,66.74,20,34,6.15,scattered clouds,2022-05-20 20:59:40
208,Pauini,BR,-7.7136,-66.9764,82.04,61,99,0.43,overcast clouds,2022-05-20 20:59:40
209,Ribeira Grande,PT,38.5167,-28.7,63.0,100,100,2.3,fog,2022-05-20 20:59:41
210,Esfarayen,IR,37.0765,57.5101,64.06,31,2,4.29,clear sky,2022-05-20 20:59:42
211,Chara,RU,56.9064,118.2631,43.09,83,77,2.84,broken clouds,2022-05-20 20:59:42
212,Narsaq,GL,60.9167,-46.05,43.75,68,20,5.61,few clouds,2022-05-20 20:59:43
213,Airai,TL,-8.9266,125.4092,57.43,90,35,4.07,scattered clouds,2022-05-20 20:59:43
214,Oliveira Dos Brejinhos,BR,-12.3169,-42.8961,75.99,32,64,3.78,broken clouds,2022-05-20 20:59:44
215,Araouane,ML,18.9048,-3.5265,92.08,9,25,7.78,scattered clouds,2022-05-20 20:59:44
216,Sorong,ID,-0.8833,131.25,77.52,87,78,6.64,broken clouds,2022-05-20 20:59:45
217,Harer,ET,9.3094,42.1258,68.11,47,100,6.76,overcast clouds,2022-05-20 20:59:45
218,Hayesville,US,44.986,-122.9829,60.87,52,30,5.01,scattered clouds,2022-05-20 20:59:46
219,Mar Del Plata,AR,-38.0023,-57.5575,59.95,65,0,11.5,clear sky,2022-05-20 20:59:21
220,Bentong,MY,3.5181,101.9079,74.43,96,82,1.23,broken clouds,2022-05-20 20:59:46
221,Nikolskoye,RU,59.7035,30.7861,44.49,75,97,5.46,overcast clouds,2022-05-20 20:59:47
222,Port Blair,IN,11.6667,92.75,83.07,79,100,18.45,overcast clouds,2022-05-20 20:59:47
223,Fomboni,KM,-12.28,43.7425,80.24,70,12,9.01,few clouds,2022-05-20 20:59:47
224,Tiksi,RU,71.6872,128.8694,31.32,84,100,6.98,overcast clouds,2022-05-20 20:59:48
225,Dodge City,US,37.7528,-100.0171,73.24,32,35,10.0,scattered clouds,2022-05-20 20:59:48
226,Mount Gambier,AU,-37.8333,140.7667,39.11,100,14,0.0,few clouds,2022-05-20 20:59:49
227,La Crosse,US,43.8014,-91.2396,61.36,88,100,6.8,overcast clouds,2022-05-20 20:55:31
228,Port Hardy,CA,50.6996,-127.4199,53.6,81,20,5.75,few clouds,2022-05-20 20:56:59
